policy_id,policy_name,buying_link
H001,Star Basic Health,https://www.starhealth.in/health-insurance/
H002,Star Family Health Optima,https://www.starhealth.in/health-insurance/
H003,Niva Senior Secure,https://www.nivabupa.com/health-insurance.html
H004,HDFC Health Suraksha,https://www.hdfcergo.com/health-insurance
H005,Care Youth Plan,https://www.careinsurance.com/health-insurance.html
H006,ICICI Complete Health,https://www.icicilombard.com/health-insurance
H007,Bupa Young Care,https://www.nivabupa.com/health-insurance.html
H008,HDFC Senior Secure,https://www.hdfcergo.com/health-insurance
H009,Care Advantage,https://www.careinsurance.com/health-insurance.html
H010,Star Health Plus,https://www.starhealth.in/health-insurance/
H011,Star Comprehensive,https://www.starhealth.in/health-insurance/
H012,Niva Health Secure,https://www.nivabupa.com/health-insurance.html
H013,HDFC Young Health,https://www.hdfcergo.com/health-insurance
H014,Care Family Plus,https://www.careinsurance.com/health-insurance.html
H015,ICICI Health Boost,https://www.icicilombard.com/health-insurance
H016,Star Health Premium,https://www.starhealth.in/health-insurance/
H017,Niva Health Lite,https://www.nivabupa.com/health-insurance.html
H018,HDFC Optima Secure,https://www.hdfcergo.com/health-insurance
H019,Care Secure Plus,https://www.careinsurance.com/health-insurance.html
H020,ICICI Health AdvantEdge,https://www.icicilombard.com/health-insurance
H021,Star Medi Assist,https://www.starhealth.in/health-insurance/
H022,Niva Health Plus,https://www.nivabupa.com/health-insurance.html
H023,HDFC Health Infinity,https://www.hdfcergo.com/health-insurance
H024,Care Easy Health,https://www.careinsurance.com/health-insurance.html
H025,ICICI Health Max,https://www.icicilombard.com/health-insurance
H026,Star Medi Classic,https://www.starhealth.in/health-insurance/
H027,Niva Care Plus,https://www.nivabupa.com/health-insurance.html
H028,HDFC Health Advance,https://www.hdfcergo.com/health-insurance
H029,Care Starter Health,https://www.careinsurance.com/health-insurance.html
H030,ICICI Health Elite,https://www.icicilombard.com/health-insurance
H031,Star Platinum Health,https://www.starhealth.in/health-insurance/
H032,Niva Health Smart,https://www.nivabupa.com/health-insurance.html
H033,HDFC Secure Health,https://www.hdfcergo.com/health-insurance
H034,Care Value Health,https://www.careinsurance.com/health-insurance.html
H035,ICICI Health Prime,https://www.icicilombard.com/health-insurance
H036,Star Basic Care,https://www.starhealth.in/health-insurance/
H037,Niva Health Boost,https://www.nivabupa.com/health-insurance.html
H038,HDFC Health Shield,https://www.hdfcergo.com/health-insurance
H039,Care Health Plus,https://www.careinsurance.com/health-insurance.html
H040,ICICI Health Ultra,https://www.icicilombard.com/health-insurance
H041,Star Elite Health,https://www.starhealth.in/health-insurance/
H042,Niva Secure Plus,https://www.nivabupa.com/health-insurance.html
H043,HDFC Health Legal,https://www.hdfcergo.com/health-insurance
H044,Care Smart Health,https://www.careinsurance.com/health-insurance.html
H045,ICICI Health Supreme,https://www.icicilombard.com/health-insurance
H046,Star Health Advance,https://www.starhealth.in/health-insurance/
H047,Niva Health Prime,https://www.nivabupa.com/health-insurance.html
H048,HDFC Health Elite,https://www.hdfcergo.com/health-insurance
H049,Care Health Supreme,https://www.careinsurance.com/health-insurance.html
H050,ICICI Health Ultimate,https://www.icicilombard.com/health-insurance
C001,Car Protect Plus,https://www.icicilombard.com/car-insurance
C002,Bajaj Car Shield,https://www.bajajallianz.com/motor-insurance/car-insurance.html
C003,Tata Motor Secure,https://www.tataaig.com/motor-insurance/car-insurance
C004,Acko Smart Drive,https://www.acko.com/car-insurance/
C005,HDFC Car Secure,https://www.hdfcergo.com/car-insurance
C006,ICICI Platinum Car,https://www.icicilombard.com/car-insurance
C007,Bajaj Budget Car,https://www.bajajallianz.com/motor-insurance/car-insurance.html
C008,Tata Premium Drive,https://www.tataaig.com/motor-insurance/car-insurance
C009,Acko Drive Plus,https://www.acko.com/car-insurance/
C010,HDFC Motor Protect,https://www.hdfcergo.com/car-insurance
C011,ICICI Smart Drive,https://www.icicilombard.com/car-insurance
C012,Bajaj Drive Secure,https://www.bajajallianz.com/motor-insurance/car-insurance.html
C013,Tata Auto Secure,https://www.tataaig.com/motor-insurance/car-insurance
